Sheet,Carrier,CurrWeekDepartures,PrevWeekDepartures,DepartureDiff,DepartureDiffPct,Buses.x,Passengers,Buses 2019,Passenger 2019,Load_Factor,Avg_Temp_F,Min_Temp_F,Max_Temp_F,Precip_mm,Snow_mm,Avg_RH_Pct,Avg_Wind_mph,Peak_Gust_mph,Avg_Visibility_mi,Sunny_Hours,Severe_Weather_Flag,HDD_Base65,CDD_Base65,Storm_Count,Holiday_Week.x,Total_Volume,Passenger_Cars,Trucks,Buses.y,Avg_Speed_mph,Incidents,Weather_Impact_Index,Peak_Hour_Volume,Pct_Heavy_Vehicles,Pct_Buses,Holiday_Week.y,WeekStartDate
Feb 1-5,TransBridge,12,12,0,0,12,316,61,1843,26.33333333,36.9,30.2,42.5,4.1,9.5,84,17.5,27.3,5.4,47.2,0,196.7,0,0,0,117847,105577,10758,1512,33.9,0,0.42,13931,9.1,1.28,0,01/02/21
Feb 1-5,Peter Pan/Bonanza,9,9,0,0,9,250,44,1048,27.77777778,36.9,30.2,42.5,4.1,9.5,84,17.5,27.3,5.4,47.2,0,196.7,0,0,0,117847,105577,10758,1512,33.9,0,0.42,13931,9.1,1.28,0,01/02/21
Feb 1-5,HCEE - Community,76,76,0,0,76,1123,295,5504,14.77631579,36.9,30.2,42.5,4.1,9.5,84,17.5,27.3,5.4,47.2,0,196.7,0,0,0,117847,105577,10758,1512,33.9,0,0.42,13931,9.1,1.28,0,01/02/21
Feb 8-12,Academy,35,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/02/21
Feb 8-12,Greyhound,34,36,-2,-0.055555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/02/21
Feb 8-12,Martz,13,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/02/21
Feb 8-12,NJ Transit,2043,2071,-28,-0.013520039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/02/21
Feb 8-12,Lakeland,12,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/02/21
Feb 8-12,Trailways,10,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/02/21
Feb 8-12,Coach USA,84,84,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/02/21
Feb 8-12,TransBridge,12,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/02/21
Feb 8-12,Peter Pan/Bonanza,10,9,1,0.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/02/21
Feb 8-12,HCEE - Community,75,76,-1,-0.013157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/02/21
Feb 15-19,Academy,35,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/02/21
Feb 15-19,Greyhound,34,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/02/21
Feb 15-19,Martz,13,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/02/21
Feb 15-19,NJ Transit,2281,2043,238,0.11649535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/02/21
Feb 15-19,Lakeland,12,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/02/21
Feb 15-19,Trailways,9,10,-1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/02/21
Feb 15-19,Coach USA,81,84,-3,-0.035714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/02/21
